frame,time
0,0.000000
1,0.166667
2,0.333333
3,0.500000
4,0.666667
5,0.833333
6,1.000000
7,1.166667
8,1.333333
9,1.500000
10,1.666667
11,1.833333
12,2.000000
13,2.166667
14,2.333333
15,2.500000
16,2.666667
17,2.833333
18,3.000000
19,3.166667
20,3.333333
21,3.500000
22,3.666667
23,3.833333
24,4.000000
25,4.166667
26,4.333333
27,4.500000
28,4.666667
29,4.833333
30,5.000000
31,5.166667
32,5.333333
33,5.500000
34,5.666667
35,5.833333
36,6.000000
37,6.166667
38,6.333333
39,6.500000
40,6.666667
41,6.833333
42,7.000000
43,7.166667
44,7.333333
45,7.500000
46,7.666667
47,7.833333
48,8.000000
49,8.166667
50,8.333333
51,8.500000
52,8.666667
53,8.833333
54,9.000000
55,9.166667
56,9.333333
57,9.500000
58,9.666667
59,9.833333
60,10.000000
61,10.166667
62,10.333333
63,10.500000
64,10.666667
65,10.833333
66,11.000000
67,11.166667
68,11.333333
69,11.500000
70,11.666667
71,11.833333
72,12.000000
73,12.166667
74,12.333333
75,12.500000
76,12.666667
77,12.833333
78,13.000000
79,13.166667
80,13.333333
81,13.500000
82,13.666667
83,13.833333
84,14.000000
85,14.166667
86,14.333333
87,14.500000
88,14.666667
89,14.833333
90,15.000000
91,15.166667
92,15.333333
93,15.500000
94,15.666667
95,15.833333
96,16.000000
97,16.166667
98,16.333333
99,16.500000
100,16.666667
101,16.833333
102,17.000000
103,17.166667
104,17.333333
105,17.500000
106,17.666667
107,17.833333
108,18.000000
109,18.166667
110,18.333333
111,18.500000
112,18.666667
113,18.833333
114,19.000000
115,19.166667
116,19.333333
117,19.500000
118,19.666667
119,19.833333
120,20.000000
121,20.166667
122,20.333333
123,20.500000
124,20.666667
125,20.833333
126,21.000000
127,21.166667
128,21.333333
129,21.500000
130,21.666667
131,21.833333
132,22.000000
133,22.166667
134,22.333333
135,22.500000
136,22.666667
137,22.833333
138,23.000000
139,23.166667
140,23.333333
141,23.500000
142,23.666667
143,23.833333
144,24.000000
145,24.166667
146,24.333333
147,24.500000
148,24.666667
149,24.833333
150,25.000000
151,25.166667
152,25.333333
153,25.500000
154,25.666667
155,25.833333
156,26.000000
157,26.166667
158,26.333333
159,26.500000
160,26.666667
161,26.833333
162,27.000000
163,27.166667
164,27.333333
165,27.500000
166,27.666667
167,27.833333
168,28.000000
169,28.166667
170,28.333333
171,28.500000
172,28.666667
173,28.833333
174,29.000000
175,29.166667
176,29.333333
177,29.500000
178,29.666667
179,29.833333
